PSR name	Δν/ν (10-9)	Error (10-9)
J0007+7303	554	1
J0007+7303	1260	0
4U_0142+61	650	150
4U_0142+61	1627	348
B0144+59	0.056	0.003
B0154+61	4	1
B0154+61	2.6	0.3
J0205+6449	340	110
J0205+6449	3800	400
J0205+6449	1761	7
J0205+6449	126	5
J0205+6449	2933	5
J0205+6449	84	14
J0205+6449	527	7
J0205+6449	43	2
J0205+6449	3140	50
J0215+6218	0.06	0.04
B0355+54	6	1
B0355+54	4366	1
B0402+61	0.62	0.04
B0410+69	0.011	0.006
J0417+35	24.54	0.03
B0458+46	0.33	0.02
B0523+11	0.312	0.002
B0525+21	1.9	0.2
B0525+21	2.3	0.2
B0525+21	0.2	0.1
B0525+21	0.5	0.1
B0531+21	7.2	0.4
B0531+21	1.9	0.1
B0531+21	2.1	0.1
B0531+21	35.7	0.3
B0531+21	6	1
B0531+21	81	0.4
B0531+21	4.2	0.2
B0531+21	2.1	0.1
B0531+21	31.9	0.1
B0531+21	6.1	0.4
B0531+21	0.8	0.3
B0531+21	6.2	0.2
B0531+21	6.8	0.2
B0531+21	25.1	0.3
B0531+21	3.5	0.1
B0531+21	22.6	0.1
B0531+21	8.9	0.1
B0531+21	3.4	0.1
B0531+21	1.7	0.1
B0531+21	214	1
B0531+21	4.9	0.1
B0531+21	2.8	0.2
B0531+21	21.8	0.2
B0531+21	4.7	0.1
B0531+21	39	4
B0531+21	2.2	0.4
B0531+21	516.37	0.1
B0531+21	4.08	0.22
B0531+21	2.3	0.6
B0531+21	31.7	1.2
J0537-6910	687	3
J0537-6910	450	3
J0537-6910	315	1
J0537-6910	140	1
J0537-6910	140	1
J0537-6910	454	5
J0537-6910	2.3	0.4
J0537-6910	184	1
J0537-6910	426	1
J0537-6910	168	1
J0537-6910	218	1
J0537-6910	420	2
J0537-6910	146	3
J0537-6910	255	3
J0537-6910	234.6	0.3
J0537-6910	338	1
J0537-6910	17	1
J0537-6910	391.1	0.2
J0537-6910	395	1
J0537-6910	260	1
J0537-6910	321	1
J0537-6910	409	3
J0537-6910	235	1
J0537-6910	18	1
J0537-6910	352	1
J0537-6910	371	2
J0537-6910	1	0.3
J0537-6910	488	1
J0537-6910	239	1
J0537-6910	114	1
J0537-6910	147	1
J0537-6910	128.7	0.5
J0537-6910	105	1
J0537-6910	362	1
J0537-6910	341	1
