PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
J0007+7303	54953	X	554	1	JBO
J0007+7303	55466	X	1260	0	JBO
4U_0142+61	51141	248	650	150	JBO
4U_0142+61	53809	X	1627	348	JBO
B0144+59	53682	15	0.056	0.003	JBO
B0154+61	48512	5	4	1	JBO
B0154+61	58283	3	2.6	0.3	JBO
J0205+6449	52555	8	340	110	JBO
J0205+6449	52920	72	3800	400	JBO
J0205+6449	54907	18	1761	7	JBO
J0205+6449	55719	10	126	5	JBO
J0205+6449	56836	5	2933	5	JBO
J0205+6449	56854	28	84	14	JBO
J0205+6449	57345	12	527	7	JBO
J0205+6449	57696.75	0.08	43	2	JBO
J0205+6449	58320	97	3140	50	JBO
J0215+6218	55965	27	0.06	0.04	JBO
B0355+54	46082	4	6	1	JBO
B0355+54	46470	18	4366	1	JBO
B0402+61	53041	6	0.62	0.04	JBO
B0410+69	57120	60	0.011	0.006	JBO
J0417+35	57053.63	0.06	24.54	0.03	JBO
B0458+46	52616	2	0.33	0.02	JBO
B0523+11	56010.4	0.5	0.312	0.002	JBO
B0525+21	42051.5	0.3	1.9	0.2	JBO
B0525+21	52296	1	2.3	0.2	JBO
B0525+21	53379	X	0.2	0.1	JBO
B0525+21	53980	12	0.5	0.1	JBO
B0531+21	40491.8	0.03	7.2	0.4	JBO
B0531+21	41161.98	0.04	1.9	0.1	JBO
B0531+21	41250.32	0.01	2.1	0.1	JBO
B0531+21	42447.26	0.04	35.7	0.3	JBO
B0531+21	46663.69	0.03	6	1	JBO
B0531+21	47767.504	0.003	81	0.4	JBO
B0531+21	48945.6	0.1	4.2	0.2	JBO
B0531+21	50020.04	0.02	2.1	0.1	JBO
B0531+21	50260.031	0.004	31.9	0.1	JBO
B0531+21	50458.94	0.03	6.1	0.4	JBO
B0531+21	50489.7	0.2	0.8	0.3	JBO
B0531+21	50812.59	0.01	6.2	0.2	JBO
B0531+21	51452.02	0.01	6.8	0.2	JBO
B0531+21	51740.656	0.002	25.1	0.3	JBO
B0531+21	51804.75	0.02	3.5	0.1	JBO
B0531+21	52084.072	0.001	22.6	0.1	JBO
B0531+21	52146.758	0.0003	8.9	0.1	JBO
B0531+21	52498.257	0.002	3.4	0.1	JBO
B0531+21	52587.2	0.01	1.7	0.1	JBO
B0531+21	53067.078	0.0002	214	1	JBO
B0531+21	53254.109	0.002	4.9	0.1	JBO
B0531+21	53331.17	0.01	2.8	0.2	JBO
B0531+21	53970.19	0.0003	21.8	0.2	JBO
B0531+21	54580.38	0.01	4.7	0.1	JBO
B0531+21	55875.49	0.03	39	4	JBO
B0531+21	57839.8	0.1	2.2	0.4	JBO
B0531+21	58064.555	0.003	516.37	0.1	JBO
B0531+21	58237.357	0.005	4.08	0.22	JBO
B0531+21	58470.7	0.2	2.3	0.6	JBO
B0531+21	58687.565	0.004	31.7	1.2	JBO
J0537-6910	51278	16	687	3	JBO
J0537-6910	51562	15	450	3	JBO
J0537-6910	51711	5	315	1	JBO
J0537-6910	51826	8	140	1	JBO
J0537-6910	51881	6	140	1	JBO
J0537-6910	51960	5	454	5	JBO
J0537-6910	52152	1	2.3	0.4	JBO
J0537-6910	52170	5	184	1	JBO
J0537-6910	52241	12	426	1	JBO
J0537-6910	52378	11	168	1	JBO
J0537-6910	52453	7	218	1	JBO
J0537-6910	52545	6	420	2	JBO
J0537-6910	52731	14	146	3	JBO
J0537-6910	52807	15	255	3	JBO
J0537-6910	52886	3	234.6	0.3	JBO
J0537-6910	53014	6	338	1	JBO
J0537-6910	53125.5	0.1	17	1	JBO
J0537-6910	53145	2	391.1	0.2	JBO
J0537-6910	53288	3	395	1	JBO
J0537-6910	53445	2	260	1	JBO
J0537-6910	53550	2	321	1	JBO
J0537-6910	53696	14	409	3	JBO
J0537-6910	53861	1	235	1	JBO
J0537-6910	53951.3	0.3	18	1	JBO
J0537-6910	53999	3	352	1	JBO
J0537-6910	54094	5	371	2	JBO
J0537-6910	54243	8	1	0.3	JBO
J0537-6910	54271	2	488	1	JBO
J0537-6910	54448	7	239	1	JBO
J0537-6910	54538	4	114	1	JBO
J0537-6910	54578	5	147	1	JBO
J0537-6910	54639	2	128.7	0.5	JBO
J0537-6910	54712	2	105	1	JBO
J0537-6910	54767	4	362	1	JBO
J0537-6910	54895	9	341	1	JBO
J0537-6910	55043	2	217	0.5	JBO
J0537-6910	55184	2	209	1	JBO
J0537-6910	55280	4	549	3	JBO
J0537-6910	55451	7	169	1	JBO
J0537-6910	55519	2	122	1	JBO
J0537-6910	55552	2	8	2	JBO
J0537-6910	55587	2	87	2	JBO
J0537-6910	55615	4	453	2	JBO
J0537-6910	55786.1	0.1	14	1	JBO
J0537-6910	55819	2	346	1	JBO
J0537-6910	58083	25	260.51	0.03	JBO
J0537-6910	58152	11	581.94	0.1	JBO
J0537-6910	58363	14	126.5	0.8	JBO
J0537-6910	58424	2	409	5	JBO
J0537-6910	58566	5	148.7	0.3	JBO
J0537-6910	58637	8	435.92	0.16	JBO
J0537-6910	58807	3	122.3	0.5	JBO
J0537-6910	58868	3	388	1	JBO
B0540-69	51335	12	1.4	0.2	JBO
B0559-05	51665.2	0.1	0.2	0.1	JBO
B0559-05	54347	13	0.05	0.01	JBO
J0611+1436	55818	16	5575.4	0.8	JBO
J0625+1015	55203	8	0.33	0.05	JBO
J0625+1015	57676	3	1.17	0.06	JBO
J0625+1015	58488	28	767.35	0.11	JBO
J0613-0200	50888	30	0.0025	0.0001	JBO
J0631+1036	50183.5	0.2	4.7	0.1	JBO
J0631+1036	50480.1	0.1	4.2	0.2	JBO
J0631+1036	50608.277	0.001	57.3	0.1	JBO
J0631+1036	50729	1	1662.7	0.1	JBO
J0631+1036	51909.7	0.1	1.4	0.1	JBO
J0631+1036	52852.5	0.01	17.6	0.1	JBO
J0631+1036	53230.1	0.1	1.6	0.1	JBO
J0631+1036	53366	1	1.9	0.1	JBO
J0631+1036	53622.6	0.2	1.1	0.1	JBO
J0631+1036	54099	2	0.4	0.1	JBO
J0631+1036	54170.4	0.1	1.6	0.1	JBO
J0631+1036	54632.53	0.002	43.2	0.1	JBO
J0631+1036	55119.35	0.06	9.4	0.4	JBO
J0631+1036	55276.7	0.3	7.5	0.6	JBO
J0631+1036	55702	5	3277.9	0.8	JBO
J0631+1036	58341.7	0.1	27.8	0.8	JBO
J0631+1036	58352.13	0.01	96.4	0.6	JBO
J0633+1746	50382	X	0.6	0	JBO
B0656+14	50197	8	0.6	0.4	JBO
B0656+14	51017	3	1.3	0.1	JBO
J0726-2612	56913	25	2.8	0.9	JBO
J0726-2612	58791	0.5	510	1.6	JBO
B0727-18	51422	1	1	0.5	JBO
B0727-18	52150	3	4	1	JBO
J0729-1448	52010	1	24.8	0.4	JBO
J0729-1448	54317.7	0.2	23	1	JBO
